id_sensor,avenida,barrio,timestamp,vehiculos,velocidad_promedio,nivel_congestion,latitud,longitud

4361,Rivadavia,Microcentro,2026-05-22 12:44:43.114330,1165,20.89,Alto,-34.60436686198185,-58.38221903884636
3246,Cabildo,Microcentro,2026-05-22 12:46:43.114330,1074,52.47,Alto,-34.605269946165144,-58.38408186341912
2077,Callao,Constitucion,2026-05-22 12:48:43.114330,1436,52.17,Alto,-34.627020872328565,-58.38258040639444
9888,Paseo Colon,Palermo,2026-05-22 12:50:43.114330,150,51.65,Bajo,-34.58458835591786,-58.43431801170287
7516,Belgrano,Retiro,2026-05-22 12:52:43.114330,916,10.5,Alto,-34.59143647867074,-58.373168801246635
4842,Santa Fe,Almagro,2026-05-22 12:54:43.114330,1019,48.14,Alto,-34.60730577326511,-58.42428053843161
5525,Belgrano,Caballito,2026-05-22 12:56:43.114330,162,29.74,Bajo,-34.61827530644634,-58.444711164157546
6847,Corrientes,Almagro,2026-05-22 12:58:43.114330,578,42.05,Medio,-34.6052942403644,-58.418273770991306
1408,Libertador,Palermo,2026-05-22 13:00:43.114330,382,27.13,Bajo,-34.59083683721995,-58.429457481691415
4627,Rivadavia,Flores,2026-05-22 13:02:43.114330,686,33.11,Medio,-34.62991145212558,-58.458312327266235
2979,25 de Mayo,Gral. San Martín,2026-05-22 13:04:43.114330,920,69.77,Alto,34.348511699232745,58.32235892049731
1770,Juan B. Justo,Caballito,2026-05-22 13:06:43.114330,119,45.1,Bajo,-34.61733051282241,-58.438280827177024
4254,Cabildo,Puerto Madero,2026-05-22 13:08:43.114330,1290,12.38,Alto,-34.61007875496836,-58.3639944230418
8997,Santa Fe,Puerto Madero,2026-05-22 13:10:43.114330,816,51.61,Medio,-34.61284870250366,-58.365751483800736
3978,Libertador,Microcentro,2026-05-22 13:12:43.114330,1123,54.5,Alto,-34.59954275457329,-58.38219234228566
2303,Paseo Colon,Palermo,2026-05-22 13:14:43.114330,1088,19.46,Alto,-34.58626035993623,-58.432654440040736
2057,Paseo Colon,Almagro,2026-05-22 13:16:43.114330,122,19.06,Bajo,-34.61354343363365,-58.42441577576609
3206,Juan B. Justo,Puerto Madero,2026-05-22 13:18:43.114330,245,44.04,Bajo,-34.60825694510944,-58.36432745013737
3661,Rivadavia,Retiro,2026-05-22 13:20:43.114330,270,56.36,Bajo,-34.59446046627983,-58.37258631910896
2810,25 de Mayo,Almagro,2026-05-22 13:22:43.114330,1254,16.89,Alto,-34.605124103786686,-58.423956619261354
6411,Santa Fe,Flores,2026-05-22 13:24:43.114330,1196,61.61,Alto,-34.63428523433017,-58.462172654389256
4840,25 de Mayo,Flores,2026-05-22 13:26:43.114330,806,18.73,Medio,-34.626909361465216,-58.456510719353716
1957,Callao,Recoleta,2026-05-22 13:28:43.114330,681,30.14,Medio,-34.59343634463537,-58.39449026909691
7785,Cabildo,Flores,2026-05-22 13:30:43.114330,977,27.22,Alto,-34.62633684439952,-58.46486679773511
6745,Callao,Microcentro,2026-05-22 13:32:43.114330,702,28.84,Medio,-34.60497688981146,-58.37911657870128
8038,Paseo Colon,Caballito,2026-05-22 13:34:43.114330,590,55.48,Medio,-34.62359975147226,-58.44172487564957
9394,9 de Julio,Flores,2026-05-22 13:36:43.114330,1454,12.82,Alto,-34.6271060992762,-58.45650312774773
3230,25 de Mayo,Belgrano,2026-05-22 13:38:43.114330,1079,48.29,Alto,-34.56265429985476,-58.45212223992558
4804,Rivadavia,Belgrano,2026-05-22 13:40:43.114330,1314,30.41,Alto,-34.559936144370276,-58.45529918656877
2614,Belgrano,Caballito,2026-05-22 13:42:43.114330,262,41.78,Bajo,-34.62045182868832,-58.43863086699227
1506,Cabildo,Puerto Madero,2026-05-22 13:44:43.114330,1248,13.36,Alto,-34.61296873353397,-58.36371072645668
7126,9 de Julio,Retiro,2026-05-22 13:46:43.114330,300,32.11,Bajo,-34.587331751497715,-58.37337524845028
3013,Santa Fe,Retiro,2026-05-22 13:48:43.114330,792,32.62,Medio,-34.58866706000995,-58.37568508099516
4820,Belgrano,Constitucion,2026-05-22 13:50:43.114330,1163,60.49,Alto,-34.62780593979681,-58.378418935951046
3072,Libertador,Retiro,2026-05-22 13:52:43.114330,1464,40.73,Alto,-34.59107286023375,-58.37058653425466
7780,Rivadavia,Palermo,2026-05-22 13:54:43.114330,1493,11.99,Alto,-34.585247835927035,-58.4268935125364
5663,Libertador,Constitucion,2026-05-22 13:56:43.114330,703,59.86,Medio,-34.62903854252451,-58.382421936674625
7209,Paseo Colon,Flores,2026-05-22 13:58:43.114330,1244,23.18,Alto,-34.632108518418285,-58.464973165434515
1827,Cabildo,Flores,2026-05-22 14:00:43.114330,808,50.66,Medio,-34.62838685724122,-58.4638154404584
6495,Rivadavia,Retiro,2026-05-22 14:02:43.114330,1125,58.87,Alto,-34.59348977990481,-58.374040844916365
6512,Callao,Retiro,2026-05-22 14:04:43.114330,70,34.17,Bajo,-34.589829961217994,-58.374393198287684
6720,Cabildo,Puerto Madero,2026-05-22 14:06:43.114330,123,36.37,Bajo,-34.610575946032256,-58.359530940218974
6488,Corrientes,Retiro,2026-05-22 14:08:43.114330,860,48.95,Medio,-34.590718610474134,-58.37652526231542
3057,Corrientes,Recoleta,2026-05-22 14:10:43.114330,279,56.57,Bajo,-34.590007658222405,-58.394031745383266
1226,25 de Mayo,Gral. San Martín,2026-05-22 14:12:43.114330,279,20.0,Bajo,34.34461015877559,58.31775620826864
6175,Paseo Colon,Almagro,2026-05-22 14:14:43.114330,629,69.9,Medio,-34.60613849700529,-58.4242154985257
3422,Juan B. Justo,Belgrano,2026-05-22 14:16:43.114330,454,22.81,Medio,-34.557896689352404,-58.46094612554632
7746,Callao,Caballito,2026-05-22 14:18:43.114330,1018,64.4,Alto,-34.619600786726856,-58.44450930697566
9816,Rivadavia,Constitucion,2026-05-22 14:20:43.114330,88,34.15,Bajo,-34.62647831194047,-58.37983224307809
1086,Belgrano,Flores,2026-05-22 14:22:43.114330,540,35.12,Medio,-34.6263716983135,-58.461868760178334
2217,Paseo Colon,Flores,2026-05-22 14:24:43.114330,1177,30.01,Alto,-34.63132234525044,-58.46005495348652
3502,Paseo Colon,Gral. San Martín,2026-05-22 14:26:43.114330,1246,42.1,Alto,34.34390464109792,58.326433949728305
3435,25 de Mayo,Palermo,2026-05-22 14:28:43.114330,1106,17.11,Alto,-34.58654197548873,-58.42505188316758
2364,Corrientes,Palermo,2026-05-22 14:30:43.114330,615,12.13,Medio,-34.59159802662057,-58.43124947004862
2532,25 de Mayo,Flores,2026-05-22 14:32:43.114330,1398,30.32,Alto,-34.63208825079492,-58.45590973169403
3154,25 de Mayo,Puerto Madero,2026-05-22 14:34:43.114330,809,15.01,Medio,-34.60694321938345,-58.36670837465258
5256,Belgrano,Retiro,2026-05-22 14:36:43.114330,448,66.8,Medio,-34.58940237151203,-58.3748358971085
4875,9 de Julio,Retiro,2026-05-22 14:38:43.114330,185,56.74,Bajo,-34.58719599346187,-58.377122499669326
4277,25 de Mayo,Flores,2026-05-22 14:40:43.114330,535,62.53,Medio,-34.63050520450699,-58.45589409703272
6222,25 de Mayo,Gral. San Martín,2026-05-22 14:42:43.114330,626,40.39,Medio,34.34212353698451,58.32504980327274
1066,9 de Julio,Recoleta,2026-05-22 14:44:43.114330,633,18.84,Medio,-34.58519030756402,-58.401431156680474
4385,Rivadavia,Recoleta,2026-05-22 14:46:43.114330,83,41.21,Bajo,-34.58920261382086,-58.392569326791225
6918,Rivadavia,Flores,2026-05-22 14:48:43.114330,1255,44.0,Alto,-34.62566278880757,-58.46433490373626
4056,Rivadavia,Belgrano,2026-05-22 14:50:43.114330,1179,39.62,Alto,-34.564109996985806,-58.4515344716401
4282,9 de Julio,Puerto Madero,2026-05-22 14:52:43.114330,467,52.93,Medio,-34.61456695650662,-58.36451104499875
1015,Belgrano,Constitucion,2026-05-22 14:54:43.114330,109,52.22,Bajo,-34.62657425978287,-58.38265354969398
1436,Paseo Colon,Caballito,2026-05-22 14:56:43.114330,450,63.06,Medio,-34.62350890351172,-58.44432712878028
4643,25 de Mayo,Gral. San Martín,2026-05-22 14:58:43.114330,1292,22.36,Alto,34.340508252371734,58.32516878179095
3815,Libertador,Recoleta,2026-05-22 15:00:43.114330,1069,16.75,Alto,-34.58461589262562,-58.398969111600486
2799,Belgrano,Belgrano,2026-05-22 15:02:43.114330,331,37.52,Bajo,-34.566568836867404,-58.46103506294816
9184,Corrientes,Retiro,2026-05-22 15:04:43.114330,668,31.65,Medio,-34.59000639446287,-58.37170268583039
2985,Belgrano,Caballito,2026-05-22 15:06:43.114330,1489,14.68,Alto,-34.62187388358573,-58.43889104654768
4512,Corrientes,Belgrano,2026-05-22 15:08:43.114330,1050,15.53,Alto,-34.558226323754084,-58.45918030601583
9999,Juan B. Justo,Flores,2026-05-22 15:10:43.114330,1256,22.8,Alto,-34.63471325462351,-58.46341118779789
3037,Juan B. Justo,Retiro,2026-05-22 15:12:43.114330,936,18.5,Alto,-34.587128187265144,-58.377588255407076
5951,Rivadavia,Microcentro,2026-05-22 15:14:43.114330,298,44.83,Bajo,-34.60442534303158,-58.38152910020376
4898,25 de Mayo,Retiro,2026-05-22 15:16:43.114330,1390,17.15,Alto,-34.58937162160062,-58.37184957609983
1563,Rivadavia,Caballito,2026-05-22 15:18:43.114330,602,46.27,Medio,-34.61628975759913,-58.44040816326353
3649,Juan B. Justo,Microcentro,2026-05-22 15:20:43.114330,1329,43.53,Alto,-34.60448425065701,-58.37717541850626
7937,Santa Fe,Almagro,2026-05-22 15:22:43.114330,596,15.8,Medio,-34.606825813699,-58.42350250592471
2765,Cabildo,Recoleta,2026-05-22 15:24:43.114330,91,32.21,Bajo,-34.58543002280323,-58.39246731907256
3790,Rivadavia,Microcentro,2026-05-22 15:26:43.114330,1249,65.78,Alto,-34.60395981732824,-58.38490247119933
3291,Rivadavia,Recoleta,2026-05-22 15:28:43.114330,140,16.27,Bajo,-34.58567583690449,-58.3997367550232
1679,Paseo Colon,Caballito,2026-05-22 15:30:43.114330,54,21.6,Bajo,-34.6194737177779,-58.44386783418521
5491,Callao,Constitucion,2026-05-22 15:32:43.114330,1159,21.91,Alto,-34.630213277626204,-58.38126971929529
4672,9 de Julio,Belgrano,2026-05-22 15:34:43.114330,1352,44.73,Alto,-34.566655390023016,-58.45513546386881
6810,Santa Fe,Almagro,2026-05-22 15:36:43.114330,1312,28.71,Alto,-34.60635052236809,-58.423020573066374
3919,25 de Mayo,Constitucion,2026-05-22 15:38:43.114330,239,67.67,Bajo,-34.6274902582,-58.380221931041895
5096,Cabildo,Recoleta,2026-05-22 15:40:43.114330,1398,29.63,Alto,-34.584336475436245,-58.39685410534161
6736,Santa Fe,Caballito,2026-05-22 15:42:43.114330,173,17.54,Bajo,-34.61774869481874,-58.44536480272481
6405,9 de Julio,Caballito,2026-05-22 15:44:43.114330,1314,19.23,Alto,-34.62209143033527,-58.44220916994891
4689,Corrientes,Belgrano,2026-05-22 15:46:43.114330,485,37.58,Medio,-34.55804671575062,-58.45932789891157
3270,Belgrano,Retiro,2026-05-22 15:48:43.114330,62,44.43,Bajo,-34.5947228398489,-58.37433928458784
2246,Cabildo,Gral. San Martín,2026-05-22 15:50:43.114330,134,21.71,Bajo,34.3433842714631,58.32532438286012
4718,Belgrano,Recoleta,2026-05-22 15:52:43.114330,1333,24.21,Alto,-34.58534340044501,-58.3944436271873
4185,Corrientes,Gral. San Martín,2026-05-22 15:54:43.114330,1178,28.78,Alto,34.34258390017957,58.324624660939165
1293,Corrientes,Microcentro,2026-05-22 15:56:43.114330,1314,49.94,Alto,-34.60412813273768,-58.38258128614251
8850,Juan B. Justo,Puerto Madero,2026-05-22 15:58:43.114330,1390,45.45,Alto,-34.60681783492601,-58.3604688755014
9822,Paseo Colon,Palermo,2026-05-22 16:00:43.114330,300,58.6,Bajo,-34.584781576745634,-58.427476562665184
7066,Rivadavia,Belgrano,2026-05-22 16:02:43.114330,239,43.37,Bajo,-34.56675234007433,-58.45413895309693
2761,Rivadavia,Puerto Madero,2026-05-22 16:04:43.114330,150,69.3,Bajo,-34.611734923925084,-58.36767320283547
4320,Santa Fe,Palermo,2026-05-22 16:06:43.114330,1002,17.4,Alto,-34.59021733417822,-58.43040718454991
4930,Paseo Colon,Retiro,2026-05-22 16:08:43.114330,1256,60.51,Alto,-34.58960410290465,-58.37650708018742
3014,Callao,Retiro,2026-05-22 16:10:43.114330,942,15.5,Alto,-34.59375521919111,-58.375185943280975
3116,Callao,Palermo,2026-05-22 16:12:43.114330,662,60.44,Medio,-34.58923843908375,-58.431277845070255
3476,Cabildo,Gral. San Martín,2026-05-22 16:14:43.114330,344,63.51,Bajo,34.33983509172772,58.32046986981124
8969,Cabildo,Recoleta,2026-05-22 16:16:43.114330,510,23.48,Medio,-34.5894237492074,-58.40177692865569
4577,Libertador,Palermo,2026-05-22 16:18:43.114330,654,49.67,Medio,-34.58810759383024,-58.42801757296674
8355,Corrientes,Flores,2026-05-22 16:20:43.114330,132,40.6,Bajo,-34.63412801939596,-58.462889474965934
3098,Paseo Colon,Constitucion,2026-05-22 16:22:43.114330,515,34.65,Medio,-34.625414178699195,-58.385108064591016
3484,Juan B. Justo,Caballito,2026-05-22 16:24:43.114330,558,26.19,Medio,-34.61918713763884,-58.44568292965224
6094,Libertador,Belgrano,2026-05-22 16:26:43.114330,1380,26.04,Alto,-34.561048207175354,-58.455599669566375
6607,Santa Fe,Palermo,2026-05-22 16:28:43.114330,1402,57.66,Alto,-34.59143268731044,-58.42503341269933
5275,Santa Fe,Palermo,2026-05-22 16:30:43.114330,1375,54.25,Alto,-34.58454665219452,-58.4345231229835
3169,Callao,Recoleta,2026-05-22 16:32:43.114330,1272,45.33,Alto,-34.59281378955307,-58.40119780279572
7714,Corrientes,Microcentro,2026-05-22 16:34:43.114330,1394,15.17,Alto,-34.600033518393765,-58.381336110594305
7449,Belgrano,Retiro,2026-05-22 16:36:43.114330,1361,40.15,Alto,-34.59307587289514,-58.37738648630242
7386,Santa Fe,Flores,2026-05-22 16:38:43.114330,491,25.32,Medio,-34.63105429531944,-58.45754237136148
5642,Paseo Colon,Recoleta,2026-05-22 16:40:43.114330,615,59.3,Medio,-34.58520971715913,-58.39392408315585
6662,25 de Mayo,Puerto Madero,2026-05-22 16:42:43.114330,1013,15.52,Alto,-34.60741243087285,-58.364726832709465
1920,Callao,Almagro,2026-05-22 16:44:43.114330,1126,65.4,Alto,-34.61188434490549,-58.41591302282357
7231,Cabildo,Constitucion,2026-05-22 16:46:43.114330,127,35.18,Bajo,-34.627876157445485,-58.38034904328943
1677,Rivadavia,Flores,2026-05-22 16:48:43.114330,1113,28.85,Alto,-34.63437753303841,-58.45776002131666
8484,Callao,Puerto Madero,2026-05-22 16:50:43.114330,889,37.84,Medio,-34.60882954345868,-58.35962544637874
4328,Santa Fe,Recoleta,2026-05-22 16:52:43.114330,989,61.88,Alto,-34.59275818818679,-58.39910488095121
4550,Juan B. Justo,Palermo,2026-05-22 16:54:43.114330,889,43.9,Medio,-34.5910747751779,-58.427631734771715
5574,Corrientes,Puerto Madero,2026-05-22 16:56:43.114330,1392,18.26,Alto,-34.60875844129138,-58.359054517807806
5362,Belgrano,Recoleta,2026-05-22 16:58:43.114330,1357,11.39,Alto,-34.59091541305757,-58.39741253918282
1829,9 de Julio,Belgrano,2026-05-22 17:00:43.114330,405,18.88,Medio,-34.55995630800416,-58.45596243134256
2880,Belgrano,Constitucion,2026-05-22 17:02:43.114330,999,48.18,Alto,-34.628420030458614,-58.38525930999557
4830,Libertador,Flores,2026-05-22 17:04:43.114330,658,32.08,Medio,-34.63380654673341,-58.45685466607097
3426,Santa Fe,Retiro,2026-05-22 17:06:43.114330,531,43.88,Medio,-34.58810019026132,-58.37110047618133
8555,Santa Fe,Palermo,2026-05-22 17:08:43.114330,555,42.85,Medio,-34.583968715731224,-58.42850982182207
3704,Juan B. Justo,Puerto Madero,2026-05-22 17:10:43.114330,349,14.19,Bajo,-34.6161694481659,-58.360683045875646
7568,25 de Mayo,Microcentro,2026-05-22 17:12:43.114330,123,64.84,Bajo,-34.608671081246,-58.379594359157736
3952,Rivadavia,Constitucion,2026-05-22 17:14:43.114330,357,27.85,Bajo,-34.62646179811214,-58.38157080610285
1084,Libertador,Microcentro,2026-05-22 17:16:43.114330,545,37.49,Medio,-34.601634241542016,-58.38295909198846
5454,Juan B. Justo,Flores,2026-05-22 17:18:43.114330,787,37.06,Medio,-34.63097757062874,-58.45545672955563
4043,Corrientes,Belgrano,2026-05-22 17:20:43.114330,1316,36.68,Alto,-34.5646572516053,-58.455602574322604
7523,Paseo Colon,Constitucion,2026-05-22 17:22:43.114330,416,58.07,Medio,-34.62984229675833,-58.379311841893234
1648,Paseo Colon,Caballito,2026-05-22 17:24:43.114330,94,50.69,Bajo,-34.61924171525034,-58.44224289858924
2050,Cabildo,Constitucion,2026-05-22 17:26:43.114330,604,68.62,Medio,-34.62306272265172,-58.37985301958923
8189,Rivadavia,Puerto Madero,2026-05-22 17:28:43.114330,690,20.6,Medio,-34.61304344872841,-58.36098569715075
3973,Belgrano,Palermo,2026-05-22 17:30:43.114330,1042,48.38,Alto,-34.5871424345632,-58.432315282861346
4703,Corrientes,Puerto Madero,2026-05-22 17:32:43.114330,1464,48.62,Alto,-34.610405090566076,-58.36826285537701
6837,Callao,Gral. San Martín,2026-05-22 17:34:43.114330,1257,33.14,Alto,34.34025006673343,58.31904391514225
9925,25 de Mayo,Caballito,2026-05-22 17:36:43.114330,533,21.56,Medio,-34.61836545223214,-58.43927960300498
4696,Juan B. Justo,Recoleta,2026-05-22 17:38:43.114330,441,26.63,Medio,-34.592296417113005,-58.395370939068876
1047,Corrientes,Almagro,2026-05-22 17:40:43.114330,1009,37.85,Alto,-34.61145970533731,-58.41810682585628
2133,9 de Julio,Recoleta,2026-05-22 17:42:43.114330,768,42.9,Medio,-34.58784195218153,-58.4019452959845
1305,25 de Mayo,Palermo,2026-05-22 17:44:43.114330,1163,23.17,Alto,-34.5840590292203,-58.43385055060457
8272,9 de Julio,Microcentro,2026-05-22 17:46:43.114330,312,22.64,Bajo,-34.604499517439784,-58.37959338596486
8429,Paseo Colon,Microcentro,2026-05-22 17:48:43.114330,82,61.74,Bajo,-34.59955807503949,-58.38192379054714
4238,Corrientes,Belgrano,2026-05-22 17:50:43.114330,648,56.83,Medio,-34.566174052627616,-58.46008563370424
7675,Cabildo,Caballito,2026-05-22 17:52:43.114330,1173,36.62,Alto,-34.615641481495885,-58.43771865586346
4802,Paseo Colon,Gral. San Martín,2026-05-22 17:54:43.114330,586,50.79,Medio,34.34295447525611,58.32392046854444
7303,9 de Julio,Constitucion,2026-05-22 17:56:43.114330,822,67.43,Medio,-34.62784750807233,-58.38389812400375
2978,Libertador,Puerto Madero,2026-05-22 17:58:43.114330,102,51.33,Bajo,-34.61154198966819,-58.36650813061641
9536,9 de Julio,Palermo,2026-05-22 18:00:43.114330,612,40.54,Medio,-34.59175127562823,-58.43195299258888
7555,Corrientes,Retiro,2026-05-22 18:02:43.114330,585,14.77,Medio,-34.588855963959915,-58.37658626471561
5207,Belgrano,Palermo,2026-05-22 18:04:43.114330,1295,38.02,Alto,-34.58835211322137,-58.42960207335002
2831,Cabildo,Gral. San Martín,2026-05-22 18:06:43.114330,661,56.23,Medio,34.34729836739674,58.32437614282614
2607,Cabildo,Recoleta,2026-05-22 18:08:43.114330,170,20.82,Bajo,-34.59159606165911,-58.39946696192541
7933,Juan B. Justo,Caballito,2026-05-22 18:10:43.114330,434,15.66,Medio,-34.622683732935656,-58.44715895635405
6916,Paseo Colon,Almagro,2026-05-22 18:12:43.114330,578,29.52,Medio,-34.614743358158165,-58.42341691919382
5155,Belgrano,Microcentro,2026-05-22 18:14:43.114330,1475,27.68,Alto,-34.59993671681253,-58.380389782032296
6104,25 de Mayo,Gral. San Martín,2026-05-22 18:16:43.114330,775,16.39,Medio,34.34273125612217,58.324495574553005
8805,Paseo Colon,Retiro,2026-05-22 18:18:43.114330,969,56.41,Alto,-34.58927435431983,-58.37547003212333
2137,Corrientes,Almagro,2026-05-22 18:20:43.114330,1097,24.7,Alto,-34.60862284591068,-58.42498358738329
6161,Juan B. Justo,Puerto Madero,2026-05-22 18:22:43.114330,1164,55.78,Alto,-34.612406022222125,-58.36587404214245
8807,25 de Mayo,Almagro,2026-05-22 18:24:43.114330,1037,45.56,Alto,-34.60987117879074,-58.424552656025654
3272,Rivadavia,Gral. San Martín,2026-05-22 18:26:43.114330,1263,56.86,Alto,34.341986051520216,58.32659966312121
2377,Juan B. Justo,Belgrano,2026-05-22 18:28:43.114330,700,60.35,Medio,-34.558979863682914,-58.451567478277894
1132,Cabildo,Flores,2026-05-22 18:30:43.114330,156,67.77,Bajo,-34.62715664818898,-58.46468380264884
6360,Paseo Colon,Palermo,2026-05-22 18:32:43.114330,459,47.19,Medio,-34.58664872686799,-58.42972165531237
6621,Callao,Microcentro,2026-05-22 18:34:43.114330,1090,66.44,Alto,-34.60578496421561,-58.378614758644055
3040,9 de Julio,Retiro,2026-05-22 18:36:43.114330,274,10.92,Bajo,-34.59632234442342,-58.37527743922831
7857,Belgrano,Constitucion,2026-05-22 18:38:43.114330,1448,23.87,Alto,-34.630465883415,-58.379057426024126
3958,Santa Fe,Gral. San Martín,2026-05-22 18:40:43.114330,623,34.9,Medio,34.341194220749166,58.31950658635052
3739,Paseo Colon,Constitucion,2026-05-22 18:42:43.114330,505,29.57,Medio,-34.627937169217255,-58.38045761350719
9817,Juan B. Justo,Microcentro,2026-05-22 18:44:43.114330,1260,16.94,Alto,-34.60197751402041,-58.3816427456148
3828,Libertador,Flores,2026-05-22 18:46:43.114330,631,60.51,Medio,-34.63031242070886,-58.45649432609933
7442,Juan B. Justo,Constitucion,2026-05-22 18:48:43.114330,306,29.46,Bajo,-34.622341808866146,-58.37819443747771
1870,25 de Mayo,Retiro,2026-05-22 18:50:43.114330,109,26.83,Bajo,-34.589210092936796,-58.3731721817633
7498,Cabildo,Almagro,2026-05-22 18:52:43.114330,707,38.48,Medio,-34.611158941160284,-58.421645719270984
5031,Paseo Colon,Caballito,2026-05-22 18:54:43.114330,1212,24.1,Alto,-34.61769520213939,-58.439834334067974
2312,Cabildo,Constitucion,2026-05-22 18:56:43.114330,243,57.89,Bajo,-34.62368075342828,-58.37760505453524
7356,9 de Julio,Flores,2026-05-22 18:58:43.114330,600,36.61,Medio,-34.62829816335421,-58.45983652086589
8315,Corrientes,Recoleta,2026-05-22 19:00:43.114330,653,43.97,Medio,-34.589718827144935,-58.3976227850133
3572,Rivadavia,Microcentro,2026-05-22 19:02:43.114330,675,30.12,Medio,-34.60297885169828,-58.37796410493224
4014,25 de Mayo,Belgrano,2026-05-22 19:04:43.114330,1454,42.92,Alto,-34.563086614577784,-58.456102958195856
1841,Callao,Retiro,2026-05-22 19:06:43.114330,202,46.74,Bajo,-34.59198020990917,-58.37013322518242
9747,Belgrano,Gral. San Martín,2026-05-22 19:08:43.114330,136,63.5,Bajo,34.3419370578989,58.32471306188952
2175,Santa Fe,Retiro,2026-05-22 19:10:43.114330,523,27.56,Medio,-34.59544088365332,-58.3730471001036
7184,Libertador,Constitucion,2026-05-22 19:12:43.114330,993,56.97,Alto,-34.624314810031855,-58.38243129837825
6338,Rivadavia,Retiro,2026-05-22 19:14:43.114330,654,52.54,Medio,-34.59603531588041,-58.37453846896104
6415,Paseo Colon,Retiro,2026-05-22 19:16:43.114330,549,64.99,Medio,-34.58859662057459,-58.37800187605991
7609,Belgrano,Retiro,2026-05-22 19:18:43.114330,1289,52.89,Alto,-34.59648006187008,-58.37692705196222
5980,Rivadavia,Recoleta,2026-05-22 19:20:43.114330,1132,53.9,Alto,-34.584544724527866,-58.401423438866914
6057,25 de Mayo,Flores,2026-05-22 19:22:43.114330,465,66.08,Medio,-34.6318407347979,-58.46017796297858
3880,Rivadavia,Palermo,2026-05-22 19:24:43.114330,437,36.7,Medio,-34.586343030251044,-58.428673507407666
6091,Belgrano,Palermo,2026-05-22 19:26:43.114330,468,25.21,Medio,-34.58956221241852,-58.43336450834995
7131,Paseo Colon,Almagro,2026-05-22 19:28:43.114330,132,29.45,Bajo,-34.60790053809496,-58.42275255285794
1332,Corrientes,Microcentro,2026-05-22 19:30:43.114330,1196,33.43,Alto,-34.60192315962185,-58.37764827233107
4653,Callao,Caballito,2026-05-22 19:32:43.114330,638,33.64,Medio,-34.61925409550497,-58.44196723769276
5576,9 de Julio,Belgrano,2026-05-22 19:34:43.114330,1272,27.1,Alto,-34.55846235528145,-58.451904671554075
4011,Juan B. Justo,Almagro,2026-05-22 19:36:43.114330,1050,59.67,Alto,-34.60756886688804,-58.42165688146797
